Page,Clicks,Impressions,CTR,Position,,,,,Page,Clicks
https://docs.python.org/3.4/library/string.html,12,86,13.95%,4.81,,library/string.html,12,,library/shutil.html,23
https://docs.python.org/pt-br/3.8/library/functools.html,12,31,38.71%,2.1,,library/functools.html,12,,library/signal.html,53
https://docs.python.org/3/install/,12,27,44.44%,2.96,,#VALUE!,12,,library/site.html,1
https://docs.python.org/3/library/fileinput.html,12,20,60.00%,1.25,,library/fileinput.html,12,,library/smtpd.html,1
https://docs.python.org/3/library/atexit.html,12,16,75.00%,1.19,,library/atexit.html,12,,library/smtplib.html,255
https://docs.python.org/pt-br/3/contents.html,11,164,6.71%,2.74,,#VALUE!,11,,library/socket.html,529
https://docs.python.org/3/whatsnew/3.0.html,11,51,21.57%,3.8,,#VALUE!,11,,library/socketserver.html,17
https://docs.python.org/3/library/winsound.html,11,29,37.93%,4.17,,library/winsound.html,11,,library/sqlite3.html,529
https://docs.python.org/pt-br/3/library/colorsys.html,11,20,55.00%,3.1,,library/colorsys.html,11,,library/ssl.html,31
https://docs.python.org/3.5/extending/newtypes.html,11,13,84.62%,1,,#VALUE!,11,,library/stat.html,11
https://docs.python.org/3/reference/grammar.html,11,12,91.67%,1,,#VALUE!,11,,library/statistics.html,406
https://docs.python.org/3/library/stat.html,11,12,91.67%,1.08,,library/stat.html,11,,library/statistics.html,254
https://docs.python.org/3.3/library/functions.html,10,68,14.71%,4.57,,library/functions.html,10,,library/statistics.html,37
https://docs.python.org/pt-br/3.10/library/asyncio-subprocess.html,10,41,24.39%,2.12,,library/asyncio-subprocess.html,10,,library/statistics.html,6
https://docs.python.org/pt-br/3.7/library/os.html,10,26,38.46%,2.77,,library/os.html,10,,library/stdtypes.html,556
https://docs.python.org/3/library/cgi.html,10,22,45.45%,1.77,,library/cgi.html,10,,library/stdtypes.html,131
https://docs.python.org/3/using/mac.html,10,22,45.45%,3.68,,#VALUE!,10,,library/stdtypes.html,128
https://docs.python.org/pt-br/3/c-api/buffer.html,10,21,47.62%,6.62,,#VALUE!,10,,library/stdtypes.html,8
https://docs.python.org/3/library/asyncio-future.html,10,19,52.63%,2.26,,library/asyncio-future.html,10,,library/stdtypes.html,1
https://docs.python.org/3/library/fcntl.html,10,18,55.56%,2,,library/fcntl.html,10,,library/stdtypes.html?highlight=split,2
https://docs.python.org/3/library/wave.html,10,15,66.67%,1,,library/wave.html,10,,library/string.html,297
https://docs.python.org/3/library/email.message.html,10,13,76.92%,1,,library/email.message.html,10,,library/string.html,12
https://docs.python.org/3/library/asyncio-stream.html,10,12,83.33%,1,,library/asyncio-stream.html,10,,library/string.html,6
https://docs.python.org/pt-br/3.7/library/posix.html,9,211,4.27%,5.55,,library/posix.html,9,,library/struct.html,311
https://docs.python.org/pt-br/3/c-api/none.html,9,48,18.75%,4.52,,#VALUE!,9,,library/subprocess.html,943
https://docs.python.org/pt-br/3.8/library/urllib.html,9,38,23.68%,2,,library/urllib.html,9,,library/subprocess.html,110
https://docs.python.org/pt-br/dev/howto/logging.html,9,26,34.62%,1.38,,#VALUE!,9,,library/symbol.html,4
https://docs.python.org/3/genindex-all.html,9,25,36.00%,2.52,,#VALUE!,9,,library/sys.html,427
https://docs.python.org/pt-br/3/library/os.path.html,9,22,40.91%,2.59,,library/os.path.html,9,,library/syslog.html,5
https://docs.python.org/3/c-api/list.html,9,21,42.86%,3.48,,#VALUE!,9,,library/tarfile.html,21
https://docs.python.org/3/library/xml.html,9,20,45.00%,1.85,,library/xml.html,9,,library/telnetlib.html,44
https://docs.python.org/3/library/numeric.html,9,14,64.29%,1.14,,library/numeric.html,9,,library/tempfile.html,171
https://docs.python.org/3/library/email.html,9,13,69.23%,1,,library/email.html,9,,library/termios.html,6
https://docs.python.org/3/library/dis.html,9,13,69.23%,1.85,,library/dis.html,9,,library/termios.html,4
https://docs.python.org/3/license.html,9,12,75.00%,1,,#VALUE!,9,,library/test.html,1
https://docs.python.org/3/library/collections.abc.html,9,12,75.00%,1.5,,library/collections.abc.html,9,,library/text.html,20
https://docs.python.org/3/distutils/apiref.html,9,10,90.00%,1,,#VALUE!,9,,library/textwrap.html,24
https://docs.python.org/3/library/optparse.html,9,9,100.00%,1,,library/optparse.html,9,,library/threading.html,595
https://docs.python.org/3.3/library/stdtypes.html?highlight=range,8,83,9.64%,6.06,,library/stdtypes.html?highlight=range,8,,library/time.html,1591
https://docs.python.org/3/faq/programming.html,8,67,11.94%,6.04,,#VALUE!,8,,library/timeit.html,277
https://docs.python.org/pt-br/3/library/__main__.html,8,47,17.02%,5.7,,library/__main__.html,8,,library/tk.html,604
https://docs.python.org/pt-br/3.10/library/os.html,8,31,25.81%,3.06,,library/os.html,8,,library/tk.html,310
https://docs.python.org/3/library/pkgutil.html,8,20,40.00%,1,,library/pkgutil.html,8,,library/tkinter.colorchooser.html,2
https://docs.python.org/3/library/xmlrpc.html,8,18,44.44%,2.83,,library/xmlrpc.html,8,,library/tkinter.dnd.html,1
https://docs.python.org/pt-br/3/library/netrc.html,8,15,53.33%,2.2,,library/netrc.html,8,,library/tkinter.font.html,19
https://docs.python.org/3/library/winreg.html,8,14,57.14%,1,,library/winreg.html,8,,library/tkinter.html,1962
https://docs.python.org/3/library/filesys.html,8,13,61.54%,3.69,,library/filesys.html,8,,library/tkinter.messagebox.html,109
https://docs.python.org/3/howto/descriptor.html,8,9,88.89%,1.22,,#VALUE!,8,,library/tkinter.messagebox.html,20
https://docs.python.org/pt-br/3.8/,7,129,5.43%,1,,#VALUE!,7,,library/tkinter.scrolledtext.html,4
